transientid,ML_PROB
59050.6764113686_DM_43.29_beam_280C_frbid.hdf5,1.0
59050.6781734822_DM_43.59_beam_280C_frbid.hdf5,1.0
59050.6795707902_DM_43.59_beam_280C_frbid.hdf5,1.0
59050.6799756187_DM_43.29_beam_280C_frbid.hdf5,1.0
59050.68628028849_DM_49.43_beam_371C_frbid.hdf5,1.0
59050.6869407323_DM_26.09_beam_95C_frbid.hdf5,1.0
59050.6871222637_DM_25.48_beam_207C_frbid.hdf5,1.0
59050.6871373197_DM_25.48_beam_106C_frbid.hdf5,1.0
59050.687159994406_DM_25.48_beam_184C_frbid.hdf5,0.9999999
59050.6871676074_DM_25.17_beam_184C_frbid.hdf5,0.9999999
59050.6873565036_DM_25.79_beam_262C_frbid.hdf5,1.0
59050.6873565482_DM_25.48_beam_265C_frbid.hdf5,1.0
59050.6873792257_DM_24.87_beam_16C_frbid.hdf5,1.0
59050.6874321658_DM_25.48_beam_352C_frbid.hdf5,0.99999964
59050.687530438605_DM_25.17_beam_190C_frbid.hdf5,1.0
59050.68756068731_DM_25.48_beam_380C_frbid.hdf5,1.0
59050.687590905305_DM_25.17_beam_378C_frbid.hdf5,1.0
59050.6876060171_DM_25.48_beam_21C_frbid.hdf5,1.0
59050.6876060283_DM_25.48_beam_328C_frbid.hdf5,0.9999994
59050.6876362352_DM_25.79_beam_355C_frbid.hdf5,0.99989605
59050.6876362686_DM_25.79_beam_361C_frbid.hdf5,1.0
59050.68777230001_DM_25.48_beam_319C_frbid.hdf5,0.99999964
59050.6878100837_DM_25.48_beam_187C_frbid.hdf5,0.99999964
59050.687832791795_DM_25.79_beam_214C_frbid.hdf5,0.9982628
59050.6878328058_DM_25.48_beam_220C_frbid.hdf5,1.0
59050.6878705672_DM_25.48_beam_255C_frbid.hdf5,1.0
59050.68790843731_DM_25.17_beam_230C_frbid.hdf5,1.0
59050.7051889392_DM_25.17_beam_376C_frbid.hdf5,1.0
59050.7052364553_DM_25.17_beam_257C_frbid.hdf5,1.0
59050.7054200391_DM_25.17_beam_107C_frbid.hdf5,0.9999999
